Title,trackId,Popularity,Artist,artistId,Top Year,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM,ImageURL,SpotifyURL,Release Date
Just the Way You Are,7BqBn9nzAq8spo5e7cZ0dJ,82,Bruno Mars,0du5cEVh5yTK9QJze8zA0C,2010,dance pop,0.0422,0.0134,0.0622,0.635,0.841,-5.379,0.424,220734,109.021,https://i.scdn.co/image/ab67616d0000b273f6b55ca93bd33211227b502b,https://open.spotify.com/track/7BqBn9nzAq8spo5e7cZ0dJ,2010
Love The Way You Lie,15JINEqzVMv3SvJTAXAKED,82,Eminem,7dGJo4pcD2V6oG8kP0tJRR,2010,detroit hip hop,0.227,0.241,0.52,0.749,0.925,-5.034,0.641,263373,86.989,https://i.scdn.co/image/ab67616d0000b273c08d5fa5c0f1a834acef5100,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,2010
Bad Romance,0SiywuOBRcynK0uKGWdCnn,82,Lady Gaga,1HY2Jd0NmPuamShAr6KMms,2010,art pop,0.0363,0.00314,0.0842,0.696,0.921,-3.755,0.714,294573,119.001,https://i.scdn.co/image/ab67616d0000b2735c9890c0456a3719eeecd8aa,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,2009
Alors on danse - Radio Edit,2GYHyAoLWpkxLVa4oYTVko,77,Stromae,5j4HeCoUlzhfWtjAfM1acR,2010,belgian pop,0.0793,0.0994,0.065,0.791,0.59,-9.206,0.714,206067,119.951,https://i.scdn.co/image/ab67616d0000b273ae373174b14e3eac81554402,https://open.spotify.com/track/2GYHyAoLWpkxLVa4oYTVko,2010
TiK ToK,0HPD5WQqrq7wPWR7P7Dw1i,80,Kesha,6LqNN22kT3074XbTVUrhzX,2010,dance pop,0.142,0.0991,0.289,0.755,0.837,-2.718,0.714,199693,120.028,https://i.scdn.co/image/ab67616d0000b2737a6339d6ddfd579f77559b3c,https://open.spotify.com/track/0HPD5WQqrq7wPWR7P7Dw1i,2010
Memories (feat. Kid Cudi),4dTaAiV9xFFCxnPur9c9yL,68,David Guetta,1Cs0zKBU1kc0i8ypK3B9ai,2010,big room,0.343,0.0015,0.246,0.561,0.87,-6.103,0.498,210093,129.98,https://i.scdn.co/image/ab67616d0000b273b2e43ed3850e072831f7b2c6,https://open.spotify.com/track/4dTaAiV9xFFCxnPur9c9yL,2009
Dynamite,2CEgGE6aESpnmtfiZwYlbV,80,Taio Cruz,6MF9fzBmfXghAz953czmBC,2010,dance pop,0.0859,0.00379,0.036,0.751,0.783,-3.724,0.816,202613,119.975,https://i.scdn.co/image/ab67616d0000b27366c3eb32692a0ae487079cf1,https://open.spotify.com/track/2CEgGE6aESpnmtfiZwYlbV,2010
Only Girl (In The World),2ENexcMEMsYk0rVJigVD3i,78,Rihanna,5pKCCKE2ajJHZ9KAiaK11H,2010,barbadian pop,0.0429,0.112,0.0586,0.789,0.706,-4.233,0.638,235493,125.911,https://i.scdn.co/image/ab67616d0000b27331548865f7c729290b96c794,https://open.spotify.com/track/2ENexcMEMsYk0rVJigVD3i,2010
California Gurls,6tS3XVuOyu10897O3ae7bi,75,Katy Perry,6jJ0s89eD6GaHleKKya26X,2010,dance pop,0.0569,0.00446,0.163,0.791,0.754,-3.729,0.425,234653,125.014,https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616,https://open.spotify.com/track/6tS3XVuOyu10897O3ae7bi,2010
What You Know,3GBApU0NuzH4hKZq4NOSdA,67,Two Door Cinema Club,536BYVgOnRky0xjsPT96zl,2010,indietronica,0.0416,0.00073,0.0822,0.563,0.739,-4.239,0.775,191707,139.0,https://i.scdn.co/image/ab67616d0000b273585f3d70dce678a5978a0941,https://open.spotify.com/track/3GBApU0NuzH4hKZq4NOSdA,2010
Animal,1fBl642IhJOE5U319Gy2Go,70,Neon Trees,0RpddSzUHfncUWNJXKOsjy,2010,modern alternative rock,0.0449,0.000346,0.365,0.482,0.833,-5.611,0.74,212293,148.039,https://i.scdn.co/image/ab67616d0000b27326ca7305db69aa21efcf2b7a,https://open.spotify.com/track/1fBl642IhJOE5U319Gy2Go,2010
Cooler Than Me - Single Mix,2V4bv1fNWfTcyRJKmej6Sj,75,Mike Posner,2KsP6tYLJlTBvSUxnwlVWa,2010,dance pop,0.0474,0.179,0.689,0.768,0.82,-4.63,0.625,213293,129.965,https://i.scdn.co/image/ab67616d0000b273d6165c0d6eba7e5bf3fca16d,https://open.spotify.com/track/2V4bv1fNWfTcyRJKmej6Sj,2010
Imma Be,0oJMv049q8hEkes9w0L1J4,66,Black Eyed Peas,1yxSLGMDHlW21z4YXirZDS,2010,dance pop,0.366,0.179,0.307,0.597,0.517,-6.963,0.413,257560,92.035,https://i.scdn.co/image/ab67616d0000b273382514f0114ba8f4a16d5db4,https://open.spotify.com/track/0oJMv049q8hEkes9w0L1J4,2009
Gold Dust - Radio Edit,3uIGef7OSXkFdqxjFWn2o6,60,DJ Fresh,6r20qOqY7qDWI0PPTxVMlC,2010,dancefloor dnb,0.147,0.255,0.392,0.451,0.948,-0.74,0.295,192447,176.985,https://i.scdn.co/image/ab67616d0000b2734ea869af5aa1e832b39c9f83,https://open.spotify.com/track/3uIGef7OSXkFdqxjFWn2o6,2010
Eenie Meenie,45O0tUN9Bh6LH4eNxQ07AT,65,Sean Kingston,6S0dmVVn4udvppDhZIWxCr,2010,dance pop,0.0316,0.0348,0.102,0.734,0.639,-3.241,0.836,201653,121.212,https://i.scdn.co/image/ab67616d0000b273ca8d656fa57db4cce117f53b,https://open.spotify.com/track/45O0tUN9Bh6LH4eNxQ07AT,2020
No Hands (feat. Roscoe Dash & Wale),6GgPsuz0HEO0nrO2T0QhDv,59,Waka Flocka Flame,6f4XkbvYlXMH0QgVRzW0sM,2010,atl hip hop,0.0391,0.00544,0.241,0.76,0.595,-6.366,0.361,263773,131.497,https://i.scdn.co/image/ab67616d0000b27315dd715a4eb3a0203c35538d,https://open.spotify.com/track/6GgPsuz0HEO0nrO2T0QhDv,2010
Bottoms Up (feat. Nicki Minaj),4AYX69oFP3UOS1CFmV9UfO,71,Trey Songz,2iojnBLj0qIMiKPvVhLnsH,2010,dance pop,0.157,0.0205,0.385,0.844,0.601,-5.283,0.331,242013,73.989,https://i.scdn.co/image/ab67616d0000b27384bb915bae941f5ea159d64d,https://open.spotify.com/track/4AYX69oFP3UOS1CFmV9UfO,2010
Find Your Love,4BycRneKmOs6MhYG9THsuX,65,Drake,3TVXtAsR1Inumwj472S9r4,2010,canadian hip hop,0.17,0.0211,0.0286,0.627,0.614,-6.006,0.758,208947,96.038,https://i.scdn.co/image/ab67616d0000b27311b21e8b868800918d21bb77,https://open.spotify.com/track/4BycRneKmOs6MhYG9THsuX,2010
