Year,Title,Artist,Genre,Speechiness,Acousticness,Liveness,Danceability,Energy,Loudness,Valence,Duration,BPM
2021,drivers license,Olivia Rodrigo,pop,0.0578,0.768,0.106,0.561,0.431,-8.81,0.137,242013,143.875
2020,Blinding Lights,The Weeknd,canadian contemporary r&b,0.0598,0.00146,0.0897,0.514,0.73,-5.934,0.334,200040,171.005
2019,Señorita,"Shawn Mendes, Camila Cabello"
2018,God's Plan,Drake
2017,Shape of You,Ed Sheeran
2016,One Dance,Drake
2015,Lean On,Major Lazer
2014,Happy,Pharrell Williams
2013,Can't Hold Us,"Macklemore, Ryan Lewis"
2012,Somebody That I Used To Know,Gotye
2011,Pumped Up Kicks,Foster The People
2010,TiK ToK,Ke$ha
